title,url
"5 Must-Visit Destinations in Cebu, Philippines - Tourist Destinations",https://www.tourist-destinations.com/2017/04/5-must-visit-destinations-in-cebu-philippines.html
"Fort Lauderdale, USA - Tourist Destinations",https://www.tourist-destinations.com/2015/04/fort-lauderdale-usa.html
"Wyoming, USA - Tourist Destinations",https://www.tourist-destinations.com/2015/03/wyoming-usa.html
"Hilton Head, South Carolina, USA - Tourist Destinations",https://www.tourist-destinations.com/2015/04/hilton-head-south-carolina-usa.html
Anchorage - The Largest city in Alaska - Tourist Destinations,https://www.tourist-destinations.com/2015/06/anchorage-alaska.html
"Baton Rouge, Louisiana - Tourist Destinations",https://www.tourist-destinations.com/2015/06/baton-rouge-louisiana.html
"South Padre Island, Texas - Tourist Destinations",https://www.tourist-destinations.com/2015/04/south-padre-island-texas.html
"Charlottesville, USA - Tourist Destinations",https://www.tourist-destinations.com/2015/03/charlottesville-usa.html
"Ocean City - Maryland, USA - Tourist Destinations",https://www.tourist-destinations.com/2015/03/ocean-city-maryland-usa.html
"Kansas City - Missouri, USA - Tourist Destinations",https://www.tourist-destinations.com/2015/06/kansas-city-missouri-usa.html
"Albuquerque, New Mexico - Tourist Destinations",https://www.tourist-destinations.com/2015/06/albuquerque-new-mexico.html
"Santa Barbara, USA - Tourist Destinations",https://www.tourist-destinations.com/2015/04/santa-barbara-usa.html
"Austin, Texas - Tourist Destinations",https://www.tourist-destinations.com/2015/06/austin-texas.html
"Outer Banks, USA - Tourist Destinations",https://www.tourist-destinations.com/2015/04/outer-banks-usa.html
"Santo Domingo, Dominican Republic - Tourist Destinations",https://www.tourist-destinations.com/2015/04/santo-domingo-dominican-republic.html
"Augusta, ME - Tourist Destinations",https://www.tourist-destinations.com/2015/07/augusta-me.html
"Sarlat-la-Canéda, France - Romantic, medieval France in one town - Tourist Destinations",https://www.tourist-destinations.com/2019/07/sarlat-la-caneda-france-romantic-medieval-france-in-one-town.html
The Twin Cities of Minneapolis and St. Paul - Tourist Destinations,https://www.tourist-destinations.com/2019/07/the-twin-cities-of-minneapolis-and-st-paul.html
"Sapa, Vietnam - Tourist Destinations",https://www.tourist-destinations.com/2019/07/sapa-vietnam.html
The good life — 7 tips for a fab French Riviera trip - Tourist Destinations,https://www.tourist-destinations.com/2019/03/the-good-life-7-tips-for-a-fab-french-riviera-trip-2.html
"Notre Dame, Paris - Tourist Destinations",https://www.tourist-destinations.com/2014/02/notre-dame-paris.html
Why I went to London! - Tourist Destinations,https://www.tourist-destinations.com/2012/05/why-i-went-to-london.html
Travel to London and Explore the Difference - Tourist Destinations,https://www.tourist-destinations.com/2012/10/travel-to-london-and-explore-difference.html
6 Steps to Plan Your Perfect First Trip to Spain - Tourist Destinations,https://www.tourist-destinations.com/2019/07/6-steps-to-plan-your-perfect-first-trip-to-spain.html
"Frankfurt, Germany - Tourist Destinations",https://www.tourist-destinations.com/2019/07/frankfurt-germany.html
"Things to do in Athens, Greece - Tourist Destinations",https://www.tourist-destinations.com/2019/06/things-to-do-in-athens-greece.html
5 Best Strategies to Plan a Trip Anywhere - Tourist Destinations,https://www.tourist-destinations.com/2019/06/5-best-strategies-to-plan-a-trip-anywhere.html
10 Reasons You Need to visit Georgia (Country) this summer - Tourist Destinations,https://www.tourist-destinations.com/2019/06/10-reasons-you-need-to-visit-georgia-country-this-summer.html
How to spend quality time in Cappadocia? - Tourist Destinations,https://www.tourist-destinations.com/2019/05/how-to-spend-quality-time-in-cappadocia.html
All You Need to Know About Nile Cruises - Tourist Destinations,https://www.tourist-destinations.com/2019/05/all-you-need-to-know-about-nile-cruises.html
Incredible India - 30 Things to Know Before You Go - Tourist Destinations,https://www.tourist-destinations.com/2019/06/incredible-india-30-things-to-know-before-you-go.html
